"name","namespaceName","version","versionFormat","metrics.total.critical","metrics.total.high","metrics.total.medium","metrics.total.unknown","metrics.unresolved.critical","metrics.unresolved.high","metrics.unresolved.medium","metrics.unresolved.unknown","metrics.fixAvailable.critical","metrics.fixAvailable.high","metrics.fixAvailable.medium","metrics.fixAvailable.unknown","timestamp"
"lz4","debian:10","1.8.3-1","dpkg","1","1","","","1","1","","","1","","","","2023-06-24T00:00:37"
"db5.3","debian:10","5.3.28+dfsg1-0.5","dpkg","1","","","","1","","","","","","","","2023-06-24T00:00:37"
"dpkg","debian:10","1.19.7","dpkg","1","","","","1","","","","1","","","","2023-06-24T00:00:37"
"libseccomp","debian:10","2.3.3-4","dpkg","1","","","","1","","","","","","","","2023-06-24T00:00:37"
"perl","debian:10","5.28.1-6","dpkg","","5","","1","","5","","1","","3","","","2023-06-24T00:00:37"
"pcre3","debian:10","2:8.39-12","dpkg","","4","2","","","4","2","","","","","","2023-06-24T00:00:37"
"systemd","debian:10","241-7~deb10u4","dpkg","","2","2","4","","2","2","4","","","1","1","2023-06-24T00:00:37"
"libgcrypt20","debian:10","1.8.4-5","dpkg","","2","2","","","2","2","","","","1","","2023-06-24T00:00:37"
"p11-kit","debian:10","0.23.15-2","dpkg","","2","1","","","2","1","","","2","1","","2023-06-24T00:00:37"
"ncurses","debian:10","6.1+20181013-2+deb10u2","dpkg","","2","","1","","2","","1","","1","","","2023-06-24T00:00:37"
"gcc-8","debian:10","8.3.0-6","dpkg","","2","","","","2","","","","","","","2023-06-24T00:00:37"
"nettle","debian:10","3.4.1-1","dpkg","","2","","","","2","","","","2","","","2023-06-24T00:00:37"
"shadow","debian:10","1:4.5-1.1","dpkg","","1","3","1","","1","3","1","","","","","2023-06-24T00:00:37"
"gnupg2","debian:10","2.2.12-1+deb10u1","dpkg","","1","1","","","1","1","","","","1","","2023-06-24T00:00:37"
"bash","debian:10","5.0-4","dpkg","","1","","1","","1","","1","","","","","2023-06-24T00:00:37"
"zlib","debian:10","1:1.2.11.dfsg-1","dpkg","","1","","1","","1","","1","","1","","1","2023-06-24T00:00:37"
"e2fsprogs","debian:10","1.44.5-1+deb10u3","dpkg","","1","","","","1","","","","","","","2023-06-24T00:00:37"
"gmp","debian:10","2:6.1.2+dfsg-4","dpkg","","1","","","","1","","","","1","","","2023-06-24T00:00:37"
"libidn2","debian:10","2.0.5-1+deb10u1","dpkg","","1","","","","1","","","","","","","2023-06-24T00:00:37"
"coreutils","debian:10","8.30-3","dpkg","","","2","","","","2","","","","","","2023-06-24T00:00:37"
"libzstd","debian:10","1.3.8+dfsg-3","dpkg","","","2","","","","2","","","","2","","2023-06-24T00:00:37"
"util-linux","debian:10","2.33.1-0.1","dpkg","","","2","","","","2","","","","","","2023-06-24T00:00:37"
"openssl","debian:10","1.1.1d-0+deb10u3","dpkg","3","3","8","8","3","3","8","8","3","3","6","4","2023-06-24T00:00:37"
"glibc","debian:10","2.28-10","dpkg","5","7","7","1","5","7","7","1","4","3","4","1","2023-06-24T00:00:37"
"gnutls28","debian:10","3.6.7-4+deb10u4","dpkg","2","1","1","3","2","1","1","3","2","1","","3","2023-06-24T00:00:37"
"tar","debian:10","1.30+dfsg-6","dpkg","1","1","1","","1","1","1","","","","","","2023-06-24T00:00:37"
"lz4","debian:10","1.8.3-1","dpkg","1","1","","","1","1","","","1","","","","2023-06-24T00:00:37"
"db5.3","debian:10","5.3.28+dfsg1-0.5","dpkg","1","","","","1","","","","","","","","2023-06-24T00:00:37"
"dpkg","debian:10","1.19.7","dpkg","1","","","","1","","","","1","","","","2023-06-24T00:00:37"
"libseccomp","debian:10","2.3.3-4","dpkg","1","","","","1","","","","","","","","2023-06-24T00:00:37"
"perl","debian:10","5.28.1-6","dpkg","","5","","1","","5","","1","","3","","","2023-06-24T00:00:37"
"pcre3","debian:10","2:8.39-12","dpkg","","4","2","","","4","2","","","","","","2023-06-24T00:00:37"
"systemd","debian:10","241-7~deb10u4","dpkg","","2","2","4","","2","2","4","","","1","1","2023-06-24T00:00:37"
"libgcrypt20","debian:10","1.8.4-5","dpkg","","2","2","","","2","2","","","","1","","2023-06-24T00:00:37"
"p11-kit","debian:10","0.23.15-2","dpkg","","2","1","","","2","1","","","2","1","","2023-06-24T00:00:37"
"ncurses","debian:10","6.1+20181013-2+deb10u2","dpkg","","2","","1","","2","","1","","1","","","2023-06-24T00:00:37"
"gcc-8","debian:10","8.3.0-6","dpkg","","2","","","","2","","","","","","","2023-06-24T00:00:37"
"nettle","debian:10","3.4.1-1","dpkg","","2","","","","2","","","","2","","","2023-06-24T00:00:37"
"shadow","debian:10","1:4.5-1.1","dpkg","","1","3","1","","1","3","1","","","","","2023-06-24T00:00:37"
"gnupg2","debian:10","2.2.12-1+deb10u1","dpkg","","1","1","","","1","1","","","","1","","2023-06-24T00:00:37"
"bash","debian:10","5.0-4","dpkg","","1","","1","","1","","1","","","","","2023-06-24T00:00:37"
"zlib","debian:10","1:1.2.11.dfsg-1","dpkg","","1","","1","","1","","1","","1","","1","2023-06-24T00:00:37"
"e2fsprogs","debian:10","1.44.5-1+deb10u3","dpkg","","1","","","","1","","","","","","","2023-06-24T00:00:37"
"gmp","debian:10","2:6.1.2+dfsg-4","dpkg","","1","","","","1","","","","1","","","2023-06-24T00:00:37"
"libidn2","debian:10","2.0.5-1+deb10u1","dpkg","","1","","","","1","","","","","","","2023-06-24T00:00:37"
"coreutils","debian:10","8.30-3","dpkg","","","2","","","","2","","","","","","2023-06-24T00:00:37"
"libzstd","debian:10","1.3.8+dfsg-3","dpkg","","","2","","","","2","","","","2","","2023-06-24T00:00:37"
"util-linux","debian:10","2.33.1-0.1","dpkg","","","2","","","","2","","","","","","2023-06-24T00:00:37"
"openssl","debian:10","1.1.1d-0+deb10u3","dpkg","3","3","8","8","3","3","8","8","3","3","6","4","2023-06-24T00:00:37"
"glibc","debian:10","2.28-10","dpkg","5","7","7","1","5","7","7","1","4","3","4","1","2023-06-24T00:00:37"
"gnutls28","debian:10","3.6.7-4+deb10u4","dpkg","2","1","1","3","2","1","1","3","2","1","","3","2023-06-24T00:00:37"
"tar","debian:10","1.30+dfsg-6","dpkg","1","1","1","","1","1","1","","","","","","2023-06-24T00:00:37"
"lz4","debian:10","1.8.3-1","dpkg","1","1","","","1","1","","","1","","","","2023-06-24T00:00:37"
"db5.3","debian:10","5.3.28+dfsg1-0.5","dpkg","1","","","","1","","","","","","","","2023-06-24T00:00:37"
"dpkg","debian:10","1.19.7","dpkg","1","","","","1","","","","1","","","","2023-06-24T00:00:37"
"libseccomp","debian:10","2.3.3-4","dpkg","1","","","","1","","","","","","","","2023-06-24T00:00:37"
"perl","debian:10","5.28.1-6","dpkg","","5","","1","","5","","1","","3","","","2023-06-24T00:00:37"
"pcre3","debian:10","2:8.39-12","dpkg","","4","2","","","4","2","","","","","","2023-06-24T00:00:37"
"systemd","debian:10","241-7~deb10u4","dpkg","","2","2","4","","2","2","4","","","1","1","2023-06-24T00:00:37"
"libgcrypt20","debian:10","1.8.4-5","dpkg","","2","2","","","2","2","","","","1","","2023-06-24T00:00:37"
"p11-kit","debian:10","0.23.15-2","dpkg","","2","1","","","2","1","","","2","1","","2023-06-24T00:00:37"
"ncurses","debian:10","6.1+20181013-2+deb10u2","dpkg","","2","","1","","2","","1","","1","","","2023-06-24T00:00:37"
"gcc-8","debian:10","8.3.0-6","dpkg","","2","","","","2","","","","","","","2023-06-24T00:00:37"
"nettle","debian:10","3.4.1-1","dpkg","","2","","","","2","","","","2","","","2023-06-24T00:00:37"
"shadow","debian:10","1:4.5-1.1","dpkg","","1","3","1","","1","3","1","","","","","2023-06-24T00:00:37"
"gnupg2","debian:10","2.2.12-1+deb10u1","dpkg","","1","1","","","1","1","","","","1","","2023-06-24T00:00:37"
"bash","debian:10","5.0-4","dpkg","","1","","1","","1","","1","","","","","2023-06-24T00:00:37"
"zlib","debian:10","1:1.2.11.dfsg-1","dpkg","","1","","1","","1","","1","","1","","1","2023-06-24T00:00:37"
"e2fsprogs","debian:10","1.44.5-1+deb10u3","dpkg","","1","","","","1","","","","","","","2023-06-24T00:00:37"
"gmp","debian:10","2:6.1.2+dfsg-4","dpkg","","1","","","","1","","","","1","","","2023-06-24T00:00:37"
"libidn2","debian:10","2.0.5-1+deb10u1","dpkg","","1","","","","1","","","","","","","2023-06-24T00:00:37"
"coreutils","debian:10","8.30-3","dpkg","","","2","","","","2","","","","","","2023-06-24T00:00:37"
"libzstd","debian:10","1.3.8+dfsg-3","dpkg","","","2","","","","2","","","","2","","2023-06-24T00:00:37"
"util-linux","debian:10","2.33.1-0.1","dpkg","","","2","","","","2","","","","","","2023-06-24T00:00:37"
"expat","debian:11","2.2.10-2","dpkg","7","7","2","2","7","7","2","2","7","7","1","2","2023-06-26T00:00:33"
"python3.9","debian:11","3.9.2-1","dpkg","2","3","2","4","2","3","2","4","","","","","2023-06-26T00:00:33"
"git","debian:11","1:2.30.2-1","dpkg","","4","","9","","4","","9","","2","","6","2023-06-26T00:00:34"
"openssh","debian:11","1:8.4p1-5","dpkg","","2","7","","","2","7","","","","","","2023-06-26T00:00:34"
"subversion","debian:11","1.14.1-3","dpkg","","1","1","","","1","1","","","1","1","","2023-06-26T00:00:34"
"apr","debian:11","1.7.0-6+deb11u1","dpkg","","","","","","","","","","","","","2023-06-26T00:00:34"
"apr-util","debian:11","1.6.1-5","dpkg","","","","1","","","","1","","","","1","2023-06-26T00:00:34"
"glibc","debian:11","2.31-13+deb11u2","dpkg","4","4","3","1","4","4","3","1","3","1","","1","2023-06-26T00:00:34"
"openssl","debian:11","1.1.1k-1+deb11u1","dpkg","2","1","4","8","2","1","4","8","2","1","2","8","2023-06-26T00:00:34"
"pcre2","debian:11","10.36-2","dpkg","2","","","","2","","","","2","","","","2023-06-26T00:00:34"
"tar","debian:11","1.34+dfsg-1","dpkg","1","","","","1","","","","","","","","2023-06-26T00:00:34"
"db5.3","debian:11","5.3.28+dfsg1-0.8","dpkg","1","","","","1","","","","","","","","2023-06-26T00:00:34"
"dpkg","debian:11","1.20.9","dpkg","1","","","","1","","","","1","","","","2023-06-26T00:00:34"
"pcre3","debian:11","2:8.39-13","dpkg","","4","1","","","4","1","","","","","","2023-06-26T00:00:34"
"perl","debian:11","5.32.1-4+deb11u2","dpkg","","2","","1","","2","","1","","","","","2023-06-26T00:00:34"
"libgcrypt20","debian:11","1.8.7-6","dpkg","","2","","","","2","","","","","","","2023-06-26T00:00:34"
"shadow","debian:11","1:4.8.1-1","dpkg","","1","2","1","","1","2","1","","","","","2023-06-26T00:00:34"
"krb5","debian:11","1.18.3-6+deb11u1","dpkg","","1","","1","","1","","1","","","","1","2023-06-26T00:00:34"
"ncurses","debian:11","6.2+20201114-2","dpkg","","1","","1","","1","","1","","1","","","2023-06-26T00:00:34"
"zlib","debian:11","1:1.2.11.dfsg-2","dpkg","","1","","1","","1","","1","","1","","1","2023-06-26T00:00:34"
"e2fsprogs","debian:11","1.46.2-2","dpkg","","1","","","","1","","","","","","","2023-06-26T00:00:34"
"gmp","debian:11","2:6.2.1+dfsg-1","dpkg","","1","","","","1","","","","1","","","2023-06-26T00:00:34"
"coreutils","debian:11","8.32-4","dpkg","","","2","","","","2","","","","","","2023-06-26T00:00:34"
"systemd","debian:11","247.3-6","dpkg","","","1","3","","","1","3","","","","3","2023-06-26T00:00:34"
"util-linux","debian:11","2.36.1-8","dpkg","","","1","","","","1","","","","","","2023-06-26T00:00:34"
"gnupg2","debian:11","2.2.27-2","dpkg","","","1","","","","1","","","","1","","2023-06-26T00:00:34"
"gnutls28","debian:11","3.7.1-5","dpkg","","","1","3","","","1","3","","","","3","2023-06-26T00:00:34"
"libsepol","debian:11","3.1-1","dpkg","","","","","","","","","","","","","2023-06-26T00:00:34"
"apt","debian:11","2.2.4","dpkg","","","","","","","","","","","","","2023-06-26T00:00:34"
"bash","debian:11","5.1-2","dpkg","","","","","","","","","","","","","2023-06-26T00:00:34"
"libzstd","debian:11","1.4.8+dfsg-2.1","dpkg","","","","","","","","","","","","","2023-06-26T00:00:34"
"gzip","debian:11","1.10-4","dpkg","","","","1","","","","1","","","","1","2023-06-26T00:00:34"
"aom","debian:11","1.0.0.errata1-3","dpkg","3","3","2","","3","3","2","","","","","","2023-06-26T00:00:34"
"linux","debian:11","5.10.70-1","dpkg","1","72","103","175","1","72","103","175","1","57","59","144","2023-06-26T00:00:34"
"openjpeg2","debian:11","2.4.0-3","dpkg","1","7","9","","1","7","9","","","","","","2023-06-26T00:00:34"
"tiff","debian:11","4.2.0-1","dpkg","1","4","17","28","1","4","17","28","","1","13","25","2023-06-26T00:00:34"
"freetype","debian:11","2.10.4+dfsg-1","dpkg","1","3","","1","1","3","","1","1","2","","","2023-06-26T00:00:34"
"libde265","debian:11","1.0.8-1","dpkg","1","2","16","29","1","2","16","29","1","2","16","27","2023-06-26T00:00:34"
"libwmf","debian:11","0.2.8.4-17","dpkg","1","","3","","1","","3","","","","","","2023-06-26T00:00:34"
"mariadb-10.5","debian:11","1:10.5.12-0+deb11u1","dpkg","","39","13","2","","39","13","2","","39","13","1","2023-06-26T00:00:34"
"imagemagick","debian:11","8:6.9.11.60+dfsg-1.3","dpkg","","10","12","9","","10","12","9","","","","2","2023-06-26T00:00:34"
"binutils","debian:11","2.35.2-2","dpkg","","5","10","","","5","10","","","","","","2023-06-26T00:00:34"
"patch","debian:11","2.7.6-7","dpkg","","2","2","","","2","2","","","","","","2023-06-26T00:00:34"
"m4","debian:11","1.4.18-5","dpkg","","2","","","","2","","","","","","","2023-06-26T00:00:34"
"libxml2","debian:11","2.9.10+dfsg-6.7","dpkg","","1","1","5","","1","1","5","","1","1","4","2023-06-26T00:00:34"
"libxslt","debian:11","1.1.34-4","dpkg","","1","1","","","1","1","","","1","","","2023-06-26T00:00:34"
"gdk-pixbuf","debian:11","2.42.2+dfsg-1","dpkg","","1","","","","1","","","","1","","","2023-06-26T00:00:34"
"openexr","debian:11","2.5.4-2","dpkg","","","9","","","","9","","","","7","","2023-06-26T00:00:34"
"cairo","debian:11","1.16.0-5","dpkg","","","4","","","","4","","","","","","2023-06-26T00:00:34"
"unzip","debian:11","6.0-26","dpkg","","","2","","","","2","","","","2","","2023-06-26T00:00:34"
"libpng1.6","debian:11","1.6.37-3","dpkg","","","1","","","","1","","","","","","2023-06-26T00:00:34"
"glib2.0","debian:11","2.66.8-1","dpkg","","","1","5","","","1","5","","","","","2023-06-26T00:00:34"
"harfbuzz","debian:11","2.7.4-1","dpkg","","","1","1","","","1","1","","","","","2023-06-26T00:00:34"
"jbigkit","debian:11","2.1-3.1","dpkg","","","1","","","","1","","","","","","2023-06-26T00:00:34"
"libjpeg-turbo","debian:11","1:2.0.6-4","dpkg","","","1","","","","1","","","","","","2023-06-26T00:00:34"
"postgresql-13","debian:11","13.5-0+deb11u1","dpkg","","","","4","","","","4","","","","4","2023-06-26T00:00:34"
"fribidi","debian:11","1.0.8-2","dpkg","","","","3","","","","3","","","","3","2023-06-26T00:00:34"
"curl","debian:11","7.74.0-1.3","dpkg","2","5","8","11","2","5","8","11","2","5","6","4","2023-06-26T00:00:34"
"openldap","debian:11","2.4.57+dfsg-3","dpkg","1","2","2","1","1","2","2","1","1","","","","2023-06-26T00:00:34"
"cyrus-sasl2","debian:11","2.1.27+dfsg-2.1","dpkg","","1","","","","1","","","","1","","","2023-06-26T00:00:34"
"wget","debian:11","1.21-1","dpkg","","","1","","","","1","","","","","","2023-06-26T00:00:34"
"sqlite3","debian:11","3.34.1-3","dpkg","","1","1","","","1","1","","","","","","2023-06-26T00:00:34"
"libksba","debian:11","1.5.0-3","dpkg","","","","2","","","","2","","","","2","2023-06-26T00:00:34"
"sqlite3","debian:11","3.34.1-3","dpkg","","1","1","","","1","1","","","","","","2023-06-26T00:00:34"
"openldap","debian:11","2.4.57+dfsg-3+deb11u1","dpkg","","2","2","1","","2","2","1","","","","","2023-06-26T00:00:34"
"curl","debian:11","7.74.0-1.3+deb11u7","dpkg","","","2","7","","","2","7","","","","","2023-06-26T00:00:34"
"wget","debian:11","1.21-1+deb11u1","dpkg","","","1","","","","1","","","","","","2023-06-26T00:00:34"
"python3.9","debian:11","3.9.2-1","dpkg","2","3","2","4","2","3","2","4","","","","","2023-06-26T00:00:34"
"openssh","debian:11","1:8.4p1-5+deb11u1","dpkg","","2","7","","","2","7","","","","","","2023-06-26T00:00:34"
"git","debian:11","1:2.30.2-1+deb11u2","dpkg","","2","","3","","2","","3","","","","","2023-06-26T00:00:34"
"expat","debian:11","2.2.10-2+deb11u5","dpkg","","","1","","","","1","","","","","","2023-06-26T00:00:34"
"bluez","debian:11","5.55-3.1","dpkg","1","3","10","2","1","3","10","2","","","","","2023-06-26T00:00:34"
"tcl8.6","debian:11","8.6.11+dfsg-1","dpkg","","1","","","","1","","","","","","","2023-06-26T00:00:34"
"aom","debian:11","1.0.0.errata1-3","dpkg","3","3","2","","3","3","2","","","","","","2023-06-26T00:00:34"
"openjpeg2","debian:11","2.4.0-3","dpkg","1","7","9","","1","7","9","","","","","","2023-06-26T00:00:34"
"tiff","debian:11","4.2.0-1+deb11u4","dpkg","1","3","4","3","1","3","4","3","","","","","2023-06-26T00:00:34"
"libwmf","debian:11","0.2.8.4-17","dpkg","1","","3","","1","","3","","","","","","2023-06-26T00:00:34"
"linux","debian:11","5.10.162-1","dpkg","","15","44","70","","15","44","70","","","","39","2023-06-26T00:00:34"
"imagemagick","debian:11","8:6.9.11.60+dfsg-1.3+deb11u1","dpkg","","10","12","7","","10","12","7","","","","","2023-06-26T00:00:34"
"binutils","debian:11","2.35.2-2","dpkg","","5","10","","","5","10","","","","","","2023-06-26T00:00:34"
"patch","debian:11","2.7.6-7","dpkg","","2","2","","","2","2","","","","","","2023-06-26T00:00:34"
"m4","debian:11","1.4.18-5","dpkg","","2","","","","2","","","","","","","2023-06-26T00:00:34"
"freetype","debian:11","2.10.4+dfsg-1+deb11u1","dpkg","","1","","1","","1","","1","","","","","2023-06-26T00:00:34"
"cairo","debian:11","1.16.0-5","dpkg","","","4","","","","4","","","","","","2023-06-26T00:00:34"
"openexr","debian:11","2.5.4-2+deb11u1","dpkg","","","2","","","","2","","","","","","2023-06-26T00:00:34"
"libpng1.6","debian:11","1.6.37-3","dpkg","","","1","","","","1","","","","","","2023-06-26T00:00:34"
"glib2.0","debian:11","2.66.8-1","dpkg","","","1","5","","","1","5","","","","","2023-06-26T00:00:34"
"harfbuzz","debian:11","2.7.4-1","dpkg","","","1","1","","","1","1","","","","","2023-06-26T00:00:34"
"jbigkit","debian:11","2.1-3.1","dpkg","","","1","","","","1","","","","","","2023-06-26T00:00:34"
"libjpeg-turbo","debian:11","1:2.0.6-4","dpkg","","","1","","","","1","","","","","","2023-06-26T00:00:34"
"libxslt","debian:11","1.1.34-4+deb11u1","dpkg","","","1","","","","1","","","","","","2023-06-26T00:00:34"
"postgresql-13","debian:11","13.9-0+deb11u1","dpkg","","","","2","","","","2","","","","2","2023-06-26T00:00:34"
"unzip","debian:11","6.0-26+deb11u1","dpkg","","","","","","","","","","","","","2023-06-26T00:00:34"
"libde265","debian:11","1.0.11-0+deb11u1","dpkg","","","","2","","","","2","","","","","2023-06-26T00:00:34"
"libheif","debian:11","1.11.0-1","dpkg","","","","2","","","","2","","","","","2023-06-26T00:00:34"
"libxml2","debian:11","2.9.10+dfsg-6.7+deb11u3","dpkg","","","","3","","","","1","","","","","2023-06-26T00:00:34"
"dav1d","debian:11","0.7.1-3","dpkg","","","","1","","","","1","","","","","2023-06-26T00:00:34"
"libwebp","debian:11","0.6.1-2.1","dpkg","","","","1","","","","1","","","","1","2023-06-26T00:00:34"
"hdf5","debian:11","1.10.6+repack-4+deb11u1","dpkg","2","11","20","3","2","11","20","3","","","","","2023-06-26T00:00:34"
"apparmor","debian:11","2.13.6-10","dpkg","1","","","","1","","","","","","","","2023-06-26T00:00:34"
"lapack","debian:11","3.9.0-3","dpkg","1","","","","1","","","","","","","","2023-06-26T00:00:34"
"netcdf","debian:11","1:4.7.4-1","dpkg","","5","12","","","5","12","","","","","","2023-06-26T00:00:34"
"poppler","debian:11","20.09.0-3.1+deb11u1","dpkg","","5","1","","","5","1","","","","","","2023-06-26T00:00:34"
"nss","debian:11","2:3.61-1+deb11u3","dpkg","","4","","","","4","","","","","","","2023-06-26T00:00:34"
"giflib","debian:11","5.1.9-2","dpkg","","2","1","","","2","1","","","","","","2023-06-26T00:00:34"
"protobuf","debian:11","3.12.4-1","dpkg","","1","2","4","","1","2","4","","","","","2023-06-26T00:00:34"
"libgd2","debian:11","2.3.0-2","dpkg","","1","2","","","1","2","","","","","","2023-06-26T00:00:34"
"cups","debian:11","2.3.3op2-3+deb11u2","dpkg","","1","","1","","1","","1","","","","","2023-06-26T00:00:34"
"iptables","debian:11","1.8.7-1","dpkg","","1","","","","1","","","","","","","2023-06-26T00:00:34"
"tesseract","debian:11","4.1.1-2.1","dpkg","","1","","","","1","","","","","","","2023-06-26T00:00:34"
"xerces-c","debian:11","3.2.3+debian-3","dpkg","","1","","","","1","","","","","","","2023-06-26T00:00:34"
"numpy","debian:11","1:1.19.5-1","dpkg","","","4","","","","4","","","","","","2023-06-26T00:00:34"
"libarchive","debian:11","3.4.3-2+deb11u1","dpkg","","","2","2","","","2","2","","","","","2023-06-26T00:00:34"
"ffmpeg","debian:11","7:4.3.5-0+deb11u1","dpkg","","","1","3","","","1","3","","","","1","2023-06-26T00:00:34"
"avahi","debian:11","0.8-5+deb11u1","dpkg","","","1","1","","","1","1","","","1","","2023-06-26T00:00:34"
"wavpack","debian:11","5.4.0-1","dpkg","","","1","1","","","1","1","","","","","2023-06-26T00:00:34"
"libvpx","debian:11","1.9.0-1","dpkg","","","1","","","","1","","","","","","2023-06-26T00:00:34"
"speex","debian:11","1.2~rc1.2-1.1","dpkg","","","1","","","","1","","","","","","2023-06-26T00:00:34"
"libcap2","debian:11","1:2.44-1","dpkg","","","","","","","","","","","","","2023-06-26T00:00:34"
"libssh","debian:11","0.9.5-1+deb11u1","dpkg","","","","1","","","","1","","","","1","2023-06-26T00:00:34"
"colord","debian:11","1.4.5-3","dpkg","","","","","","","","","","","","","2023-06-26T00:00:34"
"libxpm","debian:11","1:3.5.12-1","dpkg","","","","3","","","","3","","","","3","2023-06-26T00:00:34"
"dbus","debian:11","1.12.24-0+deb11u1","dpkg","","","","1","","","","1","","","","","2023-06-26T00:00:34"
"libxml2","debian:11","2.9.10+dfsg-6.7+deb11u4","dpkg","","","","1","","","","1","","","","","2023-06-26T00:00:34"
"glibc","debian:11","2.31-13+deb11u5","dpkg","1","3","3","","1","3","3","","","","","","2023-06-26T00:00:34"
"tar","debian:11","1.34+dfsg-1","dpkg","1","","","","1","","","","","","","","2023-06-26T00:00:34"
"db5.3","debian:11","5.3.28+dfsg1-0.8","dpkg","1","","","","1","","","","","","","","2023-06-26T00:00:34"
"pcre3","debian:11","2:8.39-13","dpkg","","4","1","","","4","1","","","","","","2023-06-26T00:00:34"
"perl","debian:11","5.32.1-4+deb11u2","dpkg","","2","","1","","2","","1","","","","","2023-06-26T00:00:34"
"libgcrypt20","debian:11","1.8.7-6","dpkg","","2","","","","2","","","","","","","2023-06-26T00:00:34"
"shadow","debian:11","1:4.8.1-1","dpkg","","1","2","1","","1","2","1","","","","","2023-06-26T00:00:34"
"ncurses","debian:11","6.2+20201114-2","dpkg","","1","","1","","1","","1","","1","","","2023-06-26T00:00:34"
"e2fsprogs","debian:11","1.46.2-2","dpkg","","1","","","","1","","","","","","","2023-06-26T00:00:34"
"krb5","debian:11","1.18.3-6+deb11u3","dpkg","","1","","","","1","","","","","","","2023-06-26T00:00:34"
"openssl","debian:11","1.1.1n-0+deb11u4","dpkg","","","2","4","","","2","4","","","","4","2023-06-26T00:00:34"
"coreutils","debian:11","8.32-4","dpkg","","","2","","","","2","","","","","","2023-06-26T00:00:34"
"systemd","debian:11","247.3-7+deb11u1","dpkg","","","1","2","","","1","2","","","","2","2023-06-26T00:00:34"
"gnutls28","debian:11","3.7.1-5+deb11u3","dpkg","","","1","","","","1","","","","","","2023-06-26T00:00:34"
"util-linux","debian:11","2.36.1-8+deb11u1","dpkg","","","1","","","","1","","","","","","2023-06-26T00:00:34"
"libsepol","debian:11","3.1-1","dpkg","","","","","","","","","","","","","2023-06-26T00:00:34"
"apt","debian:11","2.2.4","dpkg","","","","","","","","","","","","","2023-06-26T00:00:34"
"bash","debian:11","5.1-2+deb11u1","dpkg","","","","","","","","","","","","","2023-06-26T00:00:34"
"gnupg2","debian:11","2.2.27-2+deb11u2","dpkg","","","","","","","","","","","","","2023-06-26T00:00:34"
"libzstd","debian:11","1.4.8+dfsg-2.1","dpkg","","","","","","","","","","","","","2023-06-26T00:00:34"
"curl","alpine:v3.17","7.88.1-r1","dpkg","","","","4","","","","4","","","","4","2023-06-26T00:00:34"
"curl","alpine:v3.16","7.83.1-r4","dpkg","","","","15","","","","15","","","","15","2023-06-26T00:00:34"
"pkgconf","alpine:v3.16","1.8.0-r1","dpkg","","","","1","","","","1","","","","1","2023-06-26T00:00:34"
"curl","alpine:v3.16","7.83.1-r6","dpkg","","","","10","","","","10","","","","10","2023-06-26T00:00:34"
"curl","alpine:v3.17","7.88.1-r1","dpkg","","","","4","","","","4","","","","4","2023-06-26T00:00:34"
"curl","alpine:v3.17","7.87.0-r1","dpkg","","","","13","","","","13","","","","13","2023-06-26T00:00:34"
"curl","alpine:v3.17","7.88.1-r1","dpkg","","","","4","","","","4","","","","4","2023-06-26T00:00:34"
"curl","alpine:v3.17","8.0.1-r0","dpkg","","","","4","","","","4","","","","4","2023-06-26T00:00:34"
"sqlite3","debian:11","3.34.1-3","dpkg","","1","1","","","1","1","","","","","","2023-06-26T00:00:34"
"openldap","debian:11","2.4.57+dfsg-3+deb11u1","dpkg","","2","2","1","","2","2","1","","","","","2023-06-26T00:00:34"
"curl","debian:11","7.74.0-1.3+deb11u7","dpkg","","","2","7","","","2","7","","","","","2023-06-26T00:00:34"
"wget","debian:11","1.21-1+deb11u1","dpkg","","","1","","","","1","","","","","","2023-06-26T00:00:34"
"python3.9","debian:11","3.9.2-1","dpkg","2","3","2","4","2","3","2","4","","","","","2023-06-26T00:00:34"
"openssh","debian:11","1:8.4p1-5+deb11u1","dpkg","","2","7","","","2","7","","","","","","2023-06-26T00:00:34"
"git","debian:11","1:2.30.2-1+deb11u2","dpkg","","2","","3","","2","","3","","","","","2023-06-26T00:00:34"
"expat","debian:11","2.2.10-2+deb11u5","dpkg","","","1","","","","1","","","","","","2023-06-26T00:00:34"
"bluez","debian:11","5.55-3.1","dpkg","1","3","10","2","1","3","10","2","","","","","2023-06-26T00:00:34"
"tcl8.6","debian:11","8.6.11+dfsg-1","dpkg","","1","","","","1","","","","","","","2023-06-26T00:00:34"
"aom","debian:11","1.0.0.errata1-3","dpkg","3","3","2","","3","3","2","","","","","","2023-06-26T00:00:34"
"openjpeg2","debian:11","2.4.0-3","dpkg","1","7","9","","1","7","9","","","","","","2023-06-26T00:00:34"
"tiff","debian:11","4.2.0-1+deb11u4","dpkg","1","3","4","3","1","3","4","3","","","","","2023-06-26T00:00:34"
"libwmf","debian:11","0.2.8.4-17","dpkg","1","","3","","1","","3","","","","","","2023-06-26T00:00:34"
"linux","debian:11","5.10.162-1","dpkg","","15","44","70","","15","44","70","","","","39","2023-06-26T00:00:34"
"imagemagick","debian:11","8:6.9.11.60+dfsg-1.3+deb11u1","dpkg","","10","12","7","","10","12","7","","","","","2023-06-26T00:00:34"
"binutils","debian:11","2.35.2-2","dpkg","","5","10","","","5","10","","","","","","2023-06-26T00:00:34"
